"Timestamp","Studij","Upisana godina studija","Upoznatost sa znanstvenim radom [Upoznat/a sam sa znanstvenim radom fakulteta]","Upoznatost sa znanstvenim radom [Upoznat/a sam sa znanstvenim radom svojih nastavnika]","Upoznatost sa znanstvenim radom [Moji su nastavnici stručnjaci u svojem polju koji aktivno doprinose znanstvenoj zajednici]","Upoznatost sa znanstvenim radom [Upoznat sam s istraživačkim grupama fakulteta i mogu nabrojati nekoliko grupa]","Možemo podijeliti aktivnosti nastavnika na nastavne (predavanja, vježbe, priprema nastave, ispiti) i znanstvene (istraživanje, pisanje znanstvenih radova, prijava i vođenje projekata).

Po vašoj procjeni, koliko svojeg vremena nastavnici provode na znanstvene aktivnosti?","Nastavno na prošlo pitanje, po vašoj procjeni, koliko svojeg vremena tijekom doktorskog studija doktorandi provode na znanstvene aktivnosti?","Tijekom svog dosadašnjeg školovanja, koliko ste pročitali znanstvenih radova? (Bilo za potrebe predmeta na fakultetu ili u bilo koje druge svrhe.)","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za znanstveni rad tijekom studija]","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za pohađanje doktorskog studija na FERIT-u]","Zainteresiranost za znanstveni rad [Zainteresiran/a sam za pohađanje doktorskog studija na nekoj drugoj instituciji]","Komentari (neobavezno)"
"2022/12/04 4:37:42 pm CET","Diplomski Automobilsko računarstvo i komunikacije","1","Ne slažem se","Ne slažem se","Slažem se","Ne slažem se","više od 80%","više od 80%","0","Ne","Ne","Ne",""
"2022/12/04 5:43:54 pm CET","Diplomski Računarstvo","1","Izrazito se ne slažem","Izrazito se ne slažem","Slažem se","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","Manje od 5","Ne","Ne","Ne",""
"2022/12/04 7:18:23 pm CET","Stručni studij Elektrotehnika","2","Niti se slažem niti ne slažem","Ne slažem se","Potpuno se slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/04 8:07:04 pm CET","Preddiplomski Elektrotehnika","2","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a"," "
"2022/12/04 9:22:44 pm CET","Diplomski Računarstvo","2","Niti se slažem niti ne slažem","Slažem se","Slažem se","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Od 5 do 10","Da","Da","Da",""
"2022/12/04 9:30:01 pm CET","Preddiplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/04 11:15:25 pm CET","Preddiplomski Elektrotehnika","3","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Slažem se","Ne slažem se","od 40% do 60%","od 60% do 80%","0","Nisam siguran/a","Nisam siguran/a","Ne",""
"2022/12/05 7:31:47 am CET","Diplomski Računarstvo","1","Niti se slažem niti ne slažem","Ne slažem se","Izrazito se ne slažem","Slažem se","od 60% do 80%","više od 80%","10 i više","Da","Da","Da",""
"2022/12/05 10:50:54 am CET","Preddiplomski Elektrotehnika","1","Ne slažem se","Ne slažem se","Slažem se","Ne slažem se","od 20% do 40%","od 20% do 40%","10 i više","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/05 11:15:17 am CET","Preddiplomski Računarstvo","3","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Ne slažem se","od 40% do 60%","od 60% do 80%","Manje od 5","Ne","Ne","Ne",""
"2022/12/05 11:18:17 am CET","Preddiplomski Računarstvo","2","Niti se slažem niti ne slažem","Ne slažem se","Slažem se","Niti se slažem niti ne slažem","od 20% do 40%","od 40% do 60%","0","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/05 12:55:42 pm CET","Stručni studij Elektrotehnika","2","Ne slažem se","Ne slažem se","Slažem se","Ne slažem se","od 20% do 40%","od 40% do 60%","Manje od 5","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
"2022/12/05 3:28:29 pm CET","Diplomski Računarstvo","1","Ne slažem se","Ne slažem se","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 40% do 60%","0","Nisam siguran/a","Nisam siguran/a","Ne",""
"2022/12/05 9:38:54 pm CET","Preddiplomski Računarstvo","1","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","manje od 20%","manje od 20%","0","Nisam siguran/a","Ne","Ne",""
"2022/12/05 9:52:50 pm CET","Preddiplomski Elektrotehnika","3","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","od 20% do 40%","od 20% do 40%","Od 5 do 10","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/05 11:39:57 pm CET","Preddiplomski Računarstvo","1","Ne slažem se","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","od 20% do 40%","0","Ne","Ne","Ne",""
"2022/12/06 9:55:57 am CET","Diplomski Računarstvo","1","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Ne slažem se","od 20% do 40%","od 40% do 60%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/06 11:02:14 am CET","Stručni studij Elektrotehnika","3","Ne slažem se","Slažem se","Slažem se","Ne slažem se","od 40% do 60%","od 40% do 60%","Manje od 5","Da","Nisam siguran/a","Nisam siguran/a",""
"2022/12/06 1:26:36 pm CET","Preddiplomski Elektrotehnika","3","Ne slažem se","Ne slažem se","Slažem se","Izrazito se ne slažem","od 40% do 60%","više od 80%","Manje od 5","Nisam siguran/a","Ne","Ne",""
"2022/12/06 3:03:42 pm CET","Diplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","Niti se slažem niti ne slažem","od 20% do 40%","od 20% do 40%","10 i više","Da","Nisam siguran/a","Da",""
"2022/12/06 4:20:12 pm CET","Preddiplomski Elektrotehnika","1","Ne slažem se","Izrazito se ne slažem","Potpuno se slažem","Izrazito se ne slažem","od 40% do 60%","od 60% do 80%","Manje od 5","Da","Ne","Da",""
"2022/12/06 5:26:58 pm CET","Stručni studij Računarstvo","2","Ne slažem se","Ne slažem se","Izrazito se ne slažem","Ne slažem se","od 40% do 60%","od 40% do 60%","Manje od 5","Ne","Ne","Nisam siguran/a",""
"2022/12/06 6:51:49 pm CET","Preddiplomski Elektrotehnika","2","Niti se slažem niti ne slažem","Slažem se","Niti se slažem niti ne slažem","Slažem se","manje od 20%","od 20% do 40%","Manje od 5","Nisam siguran/a","Ne","Nisam siguran/a",""
"2022/12/07 12:54:22 am CET","Diplomski Automobilsko računarstvo i komunikacije","1","Slažem se","Niti se slažem niti ne slažem","Potpuno se slažem","Niti se slažem niti ne slažem","od 40% do 60%","od 60% do 80%","Od 5 do 10","Da","Da","Nisam siguran/a",""
"2022/12/07 8:38:11 am CET","Preddiplomski Računarstvo","3","Izrazito se ne slažem","Izrazito se ne slažem","Niti se slažem niti ne slažem","Izrazito se ne slažem","manje od 20%","od 40% do 60%","10 i više","Da","Ne","Da","Rado bih sudjelovao na nekom znanstvenom radu ali nisam upoznat koje su mi mogućnosti niti kako upasti na nekakav znanstveni rad/projekt"
"2022/12/07 9:29:44 am CET","Preddiplomski Računarstvo","1","Ne slažem se","Ne slažem se","Ne slažem se","Ne slažem se","od 40% do 60%","od 40% do 60%","0","Ne","Ne","Ne",""
"2022/12/07 11:14:56 am CET","Diplomski Računarstvo","1","Ne slažem se","Niti se slažem niti ne slažem","Slažem se","Izrazito se ne slažem","od 60% do 80%","više od 80%","0","Nisam siguran/a","Nisam siguran/a","Nisam siguran/a",""
